ticker,start_date,end_date
RH,2017-01-01,2017-03-01
RH,2020-12-01,
RIG,2017-09-01,2021-01-01
RJF,2012-12-01,2017-04-01
RKT,2012-12-01,2017-01-01
RLGY,2018-11-01,2019-10-01
RLI,2021-03-01,
RMBS,2024-01-01,
RMD,2012-12-01,2017-09-01
RNR,2015-06-01,
ROIV,2024-04-01,
ROKU,2026-07-01,
ROL,2012-12-01,2021-01-01
ROSE,2013-12-01,2017-01-01
ROVI,2012-12-01,2017-01-01
RPM,2012-12-01,
RRC,2018-08-01,2019-11-01
RRC,2022-04-01,
RRD,2013-12-01,2017-01-01
RRX,2022-01-01,
RS,2012-12-01,
RUN,2021-03-01,2024-04-01
RVBD,2012-12-01,2015-06-01
RXO,2022-12-01,2023-02-01
RYAN,2024-07-01,
RYL,2012-12-01,2013-12-01
RYN,2012-12-01,
SABR,2017-05-01,2023-01-01
SAFM,2017-11-01,2022-08-01
SAIA,2021-09-01,
SAIC,2013-12-01,
SAIL,2021-03-01,2022-09-01
SAM,2015-06-01,
SANM,2026-07-01,
SARO,2026-02-01,
SATS,2025-04-01,2026-04-01
SBH,2017-01-01,2021-01-01
SBNY,2013-12-01,2022-01-01
SBRA,2017-10-01,
SCHL,2012-12-01,2015-06-01
SCI,2012-12-01,
SCOR,2017-01-01,2017-03-01
SEDG,2019-11-01,2020-11-01
SEDG,2021-03-01,2022-01-01
SEIC,2012-12-01,
SF,2015-06-01,
SFD,2012-12-01,2013-12-01
SFG,2012-12-01,2017-01-01
SFM,2017-01-01,
SGI,2025-04-01,
SGMS,2012-12-01,2015-06-01
SGMS,2018-03-01,2022-05-01
SHAW,2012-12-01,2013-04-01
SHC,2022-07-01,
SIG,2013-12-01,2017-01-01
SIG,2018-05-01,2019-11-01
SIGI,2019-11-01,
SIRI,2026-07-01,
SIRO,2015-06-01,2017-01-01
SITM,2022-01-01,2023-07-01
SITM,2026-04-01,
SIVB,2012-12-01,2018-05-01
SIX,2017-11-01,2022-08-01
SKS,2012-12-01,2015-06-01
SKT,2015-06-01,2020-12-01
SKX,2017-01-01,2025-10-01
SLAB,2012-12-01,
SLG,2012-12-01,2015-06-01
SLG,2021-04-01,2023-04-01
SLGN,2012-12-01,
SLH,2012-12-01,2017-01-01
SLM,2015-06-01,
SLXP,2013-12-01,2015-06-01
SM,2012-12-01,2019-10-01
SMCI,2023-01-01,2024-04-01
SMG,2012-12-01,
SMTC,2012-12-01,2017-01-01
SMTC,2019-10-01,2023-01-01
SMTC,2026-07-01,
SN,2026-06-01,
SNH,2012-12-01,2021-01-01
SNPS,2012-12-01,2017-04-01
SNV,2012-12-01,2026-02-01
SNX,2017-01-01,
SOLS,2026-04-01,
SON,2012-12-01,
SPN,2012-12-01,2019-10-01
SPW,2012-12-01,2016-06-01
SPWR,2021-11-01,2023-07-01
SPXC,2016-06-01,2017-01-01
SPXC,2026-02-01,
SR,2021-03-01,
SRC,2019-10-01,2024-02-01
SRCL,2019-10-01,2024-12-01
SRPT,2024-07-01,2025-10-01
SRX,2012-12-01,2013-12-01
SSB,2023-04-01,
SSD,2021-03-01,
ST,2023-11-01,
STAA,2021-05-01,2023-09-01
STAG,2023-06-01,
STE,2012-12-01,2020-11-01
STL,2017-11-01,2022-03-01
STLD,2012-12-01,2023-01-01
STOR,2021-03-01,2023-03-01
STR,2012-12-01,2016-12-01
STRA,2012-12-01,2013-12-01
STRA,2021-01-01,2021-09-01
STRL,2025-12-01,
STWD,2023-04-01,
SUG,2012-12-01,2013-12-01
SUNE,2013-12-01,2017-01-01
SVC,2020-04-01,2020-11-01
SVC,2021-02-01,2021-07-01
SVU,2013-12-01,2017-01-01
SWAV,2022-07-01,2024-07-01
SWI,2013-12-01,2017-01-01
SWKS,2012-12-01,2015-06-01
SWN,2017-05-01,2020-11-01
SWN,2022-08-01,2024-11-01
SWX,2017-01-01,
SXT,2012-12-01,2023-11-01
SYNA,2017-01-01,
SYNH,2018-05-01,2023-11-01
TBL,2012-12-01,2013-12-01
TCB,2012-12-01,2017-11-01
TCBI,2017-05-01,
TCF,2017-11-01,2019-10-01
TCF,2021-03-01,2021-07-01
TCO,2012-12-01,2021-02-01
TDC,2017-08-01,2025-04-01
TDS,2012-12-01,2022-01-01
TDW,2012-12-01,2017-01-01
TDY,2015-06-01,2021-01-01
TECD,2012-12-01,2021-01-01
TECH,2012-12-01,2021-09-01
TER,2015-06-01,2021-01-01
TEX,2012-12-01,
TFX,2012-12-01,2019-10-01
TGI,2013-12-01,2017-03-01
TGNA,2017-07-01,2024-10-01
THC,2017-01-01,
THG,2012-12-01,
THO,2012-12-01,
THOR,2012-12-01,2017-01-01
THS,2015-06-01,2021-10-01
TIBX,2012-12-01,2015-06-01
TIME,2015-06-01,2017-07-01
TIN,2012-12-01,2013-12-01
TKO,2023-11-01,2025-04-01
TKR,2012-12-01,
TLN,2015-07-01,2017-01-01
TLN,2025-10-01,
TMHC,2020-12-01,2026-08-01
TMST,2015-06-01,2017-01-01
TNB,2012-12-01,2013-12-01
TNDM,2021-10-01,2023-04-01
TNL,2021-04-01,
TOL,2012-12-01,
TOST,2026-08-01,
TPH,2017-01-01,2022-06-01
TPL,2024-07-01,2024-12-01
TPX,2013-12-01,2025-04-01
TR,2012-12-01,2022-01-01
TREE,2018-04-01,2021-11-01
TREX,2019-10-01,
TRGP,2021-07-01,2022-11-01
TRH,2012-12-01,2013-12-01
TRIP,2020-11-01,2023-11-01
TRMB,2012-12-01,2021-02-01
TRMK,2012-12-01,2021-09-01
TRN,2012-12-01,2022-07-01
TRU,2025-11-01,
TSCO,2012-12-01,2015-06-01
TTC,2017-01-01,
TTEK,2019-09-01,
TTMI,2026-02-01,
TTWO,2017-04-01,2018-05-01
TUP,2012-12-01,2019-11-01
TW,2012-12-01,2017-01-01
TWLO,2025-09-01,
TWTC,2012-12-01,2015-06-01
TXNM,2025-02-01,
TXRH,2016-12-01,
TYL,2015-06-01,2021-01-01
UA,2012-12-01,2015-06-01
UA,2022-07-01,2026-02-01
UAA,2022-07-01,2026-02-01
UBSI,2017-05-01,
UDR,2012-12-01,2017-01-01
UE,2015-06-01,2022-03-01
UFPI,2023-03-01,
UFS,2013-12-01,2021-05-01
UGI,2012-12-01,
UHS,2012-12-01,2015-06-01
ULS,2026-02-01,
ULTI,2015-06-01,2019-10-01
UMBF,2017-01-01,
UMPQ,2015-06-01,2023-04-01
UNFI,2013-12-01,2021-01-01
UNIT,2017-05-01,2020-12-01
UNM,2021-10-01,
UNT,2012-12-01,2017-01-01
UNVR,2021-01-01,2023-09-01
URBN,2017-04-01,2022-07-01
URI,2012-12-01,2015-06-01
URS,2012-12-01,2015-06-01
USFD,2023-04-01,
UTHR,2012-12-01,
UTIW,2013-12-01,2015-06-01
UTR,2012-12-01,2013-09-01
UVV,2012-12-01,2015-06-01
VAC,2018-10-01,2026-02-01
VAL,2012-12-01,2017-07-01
VAL,2019-09-01,2019-11-01
VAL,2023-04-01,
VC,2018-08-01,
VCI,2013-12-01,2015-06-01
VCLK,2012-12-01,2015-06-01
VFC,2025-04-01,
VIAV,2026-07-01,
VICR,2022-01-01,2023-11-01
VICR,2026-04-01,
VLY,2012-12-01,
VMI,2012-12-01,
VNO,2023-02-01,
VNOM,2024-10-01,
VNT,2021-04-01,
VOYA,2022-01-01,
VRTX,2012-12-01,2013-12-01
VSAT,2017-01-01,2023-04-01
VSCO,2021-09-01,2023-07-01
VSH,2012-12-01,2025-02-01
VSM,2017-01-01,2019-11-01
VSM,2020-11-01,2021-01-01
VST,2023-11-01,2024-06-01
VSTO,2015-06-01,2017-04-01
VSTS,2023-11-01,2024-01-01
VVC,2012-12-01,2019-10-01
VVV,2017-06-01,
VYX,2023-11-01,2024-02-01
WAB,2012-12-01,2019-10-01
WABC,2012-12-01,2015-06-01
WAFD,2013-12-01,2023-04-01
WAL,2024-10-01,
WBMD,2017-01-01,2017-10-01
WBS,2012-12-01,
WCC,2023-07-01,
WCG,2012-12-01,2018-11-01
WCN,2012-12-01,2017-01-01
WDR,2012-12-01,2017-05-01
WEN,2012-12-01,2025-11-01
WERN,2012-12-01,2024-07-01
WETF,2015-07-01,2017-05-01
WEX,2013-12-01,
WFRD,2023-11-01,
WFSL,2012-12-01,2013-12-01
WGL,2012-12-01,2018-08-01
WGOV,2012-12-01,2013-12-01
WH,2021-01-01,
WHR,2024-04-01,
WIN,2015-06-01,2015-07-01
WING,2021-03-01,
WLK,2022-11-01,
WLY,2023-01-01,2023-07-01
WMG,2024-07-01,
WMS,2012-12-01,2015-06-01
WMS,2023-04-01,
WNR,2015-06-01,2017-07-01
WOLF,2021-12-01,2024-10-01
WOOF,2012-12-01,2017-10-01
WOR,2012-12-01,2023-12-01
WPC,2023-12-01,
WPG,2015-06-01,2018-07-01
WPX,2015-06-01,2021-02-01
WR,2012-12-01,2018-08-01
WRB,2012-12-01,2021-01-01
WRC,2012-12-01,2013-12-01
WRI,2012-12-01,2021-09-01
WSM,2012-12-01,2025-04-01
WSO,2012-12-01,
WST,2016-12-01,2021-01-01
WTFC,2017-05-01,
WTR,2012-12-01,2020-04-01
WTRG,2020-04-01,
WTS,2022-03-01,
WTW,2018-10-01,2019-10-01
WU,2022-01-01,2025-11-01
WW,2019-10-01,2021-10-01
WWAV,2013-12-01,2017-05-01
WWD,2013-12-01,
WWE,2018-09-01,2023-11-01
WYND,2018-08-01,2021-04-01
X,2015-06-01,2025-07-01
XEC,2012-12-01,2015-06-01
XEC,2020-12-01,2021-11-01
XLS,2013-12-01,2015-07-01
XPO,2019-10-01,
XRAY,2024-05-01,
XRX,2021-04-01,2023-11-01
Y,2013-09-01,2022-11-01
YELP,2019-10-01,2022-07-01
YETI,2021-06-01,
ZBRA,2012-12-01,2020-11-01
ZD,2021-11-01,2024-10-01
ZI,2023-07-01,2025-07-01
ZION,2024-04-01,
