ticker,start_date,end_date
CG,2023-12-01,
CGNX,2015-06-01,
CHD,2012-12-01,2017-01-01
CHDN,2017-01-01,
CHE,2018-08-01,
CHFC,2017-01-01,2019-09-01
CHH,2020-11-01,
CHK,2018-05-01,2020-12-01
CHK,2023-09-01,2024-11-01
CHRD,2023-04-01,
CHS,2012-12-01,2017-08-01
CHWY,2024-12-01,
CHX,2021-02-01,2025-08-01
CIEN,2012-12-01,2026-03-01
CIT,2020-12-01,2022-02-01
CIVI,2023-11-01,2026-02-01
CLB,2017-08-01,2021-01-01
CLC,2013-11-01,2017-04-01
CLF,2021-04-01,
CLGX,2012-12-01,2021-07-01
CLH,2012-12-01,
CLI,2012-12-01,2021-01-01
CMA,2025-02-01,2026-02-01
CMC,2012-12-01,
CMD,2018-05-01,2021-07-01
CMG,2012-12-01,2013-12-01
CMP,2012-12-01,2022-03-01
CNC,2015-06-01,2017-01-01
CNH,2024-10-01,
CNK,2013-09-01,2021-09-01
CNL,2012-12-01,2017-01-01
CNM,2023-12-01,
CNO,2015-06-01,
CNQR,2012-12-01,2015-06-01
CNW,2012-12-01,2017-01-01
CNX,2017-01-01,
CNXC,2021-03-01,2026-07-01
COHR,2017-04-01,2022-08-01
COHR,2022-10-01,2026-04-01
COKE,2022-08-01,
COLB,2023-04-01,
COLM,2020-12-01,
CONE,2017-04-01,2022-04-01
COO,2013-11-01,2017-01-01
COR,2017-10-01,2022-01-01
COTY,2021-03-01,2026-07-01
CPE,2017-10-01,2019-11-01
CPO,2012-12-01,2013-09-01
CPRI,2021-03-01,
CPRT,2012-12-01,2018-08-01
CPT,2012-12-01,2022-05-01
CPWR,2013-11-01,2015-06-01
CR,2012-12-01,
CRBG,2026-01-01,
CRC,2015-06-01,2017-01-01
CREE,2012-12-01,2021-12-01
CRI,2013-11-01,2025-02-01
CRK,2012-12-01,2013-12-01
CRL,2012-12-01,2021-06-01
CRNC,2021-08-01,2022-04-01
CROX,2021-07-01,
CRR,2013-09-01,2015-06-01
CRS,2012-12-01,2021-01-01
CRS,2025-02-01,
CRUS,2017-01-01,
CSAL,2015-06-01,2017-05-01
CSC,2017-01-01,2017-05-01
CSL,2012-12-01,
CST,2013-11-01,2017-08-01
CTB,2017-03-01,2018-08-01
CTLT,2017-01-01,2021-01-01
CTRE,2026-04-01,
CUBE,2023-01-01,
CUZ,2012-12-01,2013-09-01
CUZ,2017-01-01,
CVD,2012-12-01,2015-06-01
CVET,2019-10-01,2020-11-01
CVG,2012-12-01,2018-11-01
CVLT,2013-11-01,
CW,2017-01-01,
CXT,2023-05-01,
CXW,2012-12-01,2021-01-01
CY,2013-11-01,2020-12-01
CYH,2012-12-01,2017-01-01
CYN,2012-12-01,2017-01-01
CYT,2012-12-01,2017-01-01
CYTK,2024-04-01,
CZR,2019-10-01,2021-04-01
DAN,2015-06-01,2023-07-01
DAR,2020-12-01,
